OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor,lng,lat
33,190,HUNT REFINING CO,HUNT CONSLD INC,Tuscaloosa,Alabama,3,50,25,0,20.5,0,15.3,4.2,49.1,34,25,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.200487,-87.611011,1,-87.61101099999999,33.20048700000004
34,191,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,Wilmington Asphalt Plant,California,5,6.5,5,0,0,0,0,0,0,0,3.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.798301,-118.236861,1,-118.236861,33.798301000000045
35,202,KERN OIL & REFINING CO,KERN OIL & REFINING CO,Bakersfield,California,5,27,0,0,0,0,5.8,0,14,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.294719,-118.917953,1,-118.91795299999995,35.29471899999997
36,203,Flint Hills Resources LP,KOCH INDUSTRIES INC,Saint Paul,Minnesota,2,375,234,96,67,0,50.8,32,336,82,45,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,44.7633,-93.0391,1,-93.03909999999999,44.76330000000005
37,204,Flint Hills Resources LP,KOCH INDUSTRIES INC,Corpus Christi West,Texas,3,275,87.5,56.2,15,0,0,15.5,199,14.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,27.832974,-97.525965,1,-97.525965,27.832974000000004
38,205,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,Corpus Christi East,Texas,3,75,0,48.8,0,0,0,0,96.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,27.804365,-97.424842,1,-97.42484199999998,27.80436500000006
39,206,SHELL CHEMICAL LP,ROYAL DUTCH/SHELL GROUP,Saraland,Alabama,3,90.6,29,0,0,0,22,1.2,76,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.7886,-88.0562,1,-88.0562,30.788600000000056
40,209,ULTRAMAR INC,VALERO ENERGY CORP,Wilmington Refinery,California,5,87,46,56.3,0,0,18,22,144,28.8,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.779055,-118.233663,1,-118.23366299999998,33.779055000000064
41,217,VALERO REF COMPANY TENNESSEE LLC,VALERO ENERGY CORP,Memphis,Tennessee,2,185,0,70,26.5,0,36,12.7,129,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.084704,-90.082597,1,-90.08259699999999,35.08470400000004
42,223,PAULSBORO REFINING CO LLC,PBF ENERGY CO LLC,Paulsboro,New Jersey,1,105,86,0,0,0,0,0,61.1,0,21,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,39.840304,-75.257767,1,-75.257767,39.84030399999998
43,225,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Beaumont,Texas,3,384.4,148.8,115,70,0,143.5,59.9,347.1,46.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.064923,-94.074933,1,-94.07493299999997,30.064923000000064
44,226,TORRANCE REFINING CO LLC,PBF ENERGY CO LLC,Torrance,California,5,166.2,102.3,103.6,28.3,0,20,30,153.4,62,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.853208,-118.332317,1,-118.33231699999996,33.85320800000004
45,227,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Joliet,Illinois,2,275,126.7,99.3,0,0,52.6,29.1,259.8,57.5,15.1,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.41471,-88.183309,1,-88.18330899999997,41.414709999999985
46,228,Chalmette Refining LLC,PBF ENERGY CO LLC,Chalmette,Louisiana,3,197,169,75.6,0,0,52.7,16.8,188.6,42,15,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.935151,-89.974393,1,-89.97439299999999,29.935151000000083
47,237,VALERO REFINING - MERAUX LLC,VALERO ENERGY CORP,Meraux,Louisiana,3,128,60,0,48.7,0,32,0,95,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.933813,-89.941198,1,-89.94119800000001,29.933813000000008
48,238,SUPERIOR REFINING COMPANY LLC,HUSKY ENERGY INC,Superior,Wisconsin,2,50,23.5,11.3,0,0,9.3,1.7,40.5,0,16,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,46.690572,-92.067312,1,-92.06731199999999,46.69057200000004
49,244,CALUMET SHREVEPORT REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Shreveport,Louisiana,3,60,28,0,0,0,12,0,52.3,0,6.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.467561,-93.792592,0,-93.79259200000001,32.46756100000005
50,255,WRB REFINING LP,WRB REFINING LP,Borger,Texas,3,157,80,56,0,0,31.3,60,187.4,28.4,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.693187,-101.365597,1,-101.365597,35.69318700000007
